You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4448.021, avg: -19.595
[epoch][s/s_per_e/gs]: [0][93/3029/93], lr: 0.000099950259, loss: 2.783261299133
[epoch][s/s_per_e/gs]: [0][94/3029/94], lr: 0.000099949724, loss: 2.777041196823
[epoch][s/s_per_e/gs]: [0][95/3029/95], lr: 0.000099949190, loss: 2.430311679840
[epoch][s/s_per_e/gs]: [0][96/3029/96], lr: 0.000099948655, loss: 2.565492391586
[epoch][s/s_per_e/gs]: [0][97/3029/97], lr: 0.000099948120, loss: 2.585627079010
[epoch][s/s_per_e/gs]: [0][98/3029/98], lr: 0.000099947585, loss: 2.835740089417
[epoch][s/s_per_e/gs]: [0][99/3029/99], lr: 0.000099947050, loss: 3.135391712189
[epoch][s/s_per_e/gs]: [0][100/3029/100], lr: 0.000099946515, loss: 2.706651210785
bts_nyu_v2_pytorch_FAM
GPU: 0 | examples/s: 11.27 | loss: 2.70665 | var sum: -4527.734 avg: -19.946 | time elapsed: 0.02h | time left: 31.16h
[epoch][s/s_per_e/gs]: [0][101/3029/101], lr: 0.000099945980, loss: 3.248790740967
[epoch][s/s_per_e/gs]: [0][102/3029/102], lr: 0.000099945446, loss: 2.823669910431
[epoch][s/s_per_e/gs]: [0][103/3029/103], lr: 0.000099944911, loss: 2.628770828247
[epoch][s/s_per_e/gs]: [0][104/3029/104], lr: 0.000099944376, loss: 2.333429098129
[epoch][s/s_per_e/gs]: [0][105/3029/105], lr: 0.000099943841, loss: 2.654975414276
[epoch][s/s_per_e/gs]: [0][106/3029/106], lr: 0.000099943306, loss: 2.296641111374
[epoch][s/s_per_e/gs]: [0][107/3029/107], lr: 0.000099942771, loss: 2.259167194366
[epoch][s/s_per_e/gs]: [0][108/3029/108], lr: 0.000099942236, loss: 2.395494222641
[epoch][s/s_per_e/gs]: [0][109/3029/109], lr: 0.000099941701, loss: 2.265770912170
[epoch][s/s_per_e/gs]: [0][110/3029/110], lr: 0.000099941167, loss: 2.332137584686
[epoch][s/s_per_e/gs]: [0][111/3029/111], lr: 0.000099940632, loss: 2.744915485382
[epoch][s/s_per_e/gs]: [0][112/3029/112], lr: 0.000099940097, loss: 2.421912431717
[epoch][s/s_per_e/gs]: [0][113/3029/113], lr: 0.000099939562, loss: 3.241562366486
[epoch][s/s_per_e/gs]: [0][114/3029/114], lr: 0.000099939027, loss: 2.874671459198
[epoch][s/s_per_e/gs]: [0][115/3029/115], lr: 0.000099938492, loss: 2.642483472824
