nohup: ignoring input
mkdir: cannot create directory ‘./models//bts_nyu_v2_pytorch_FAM_without_skip’: File exists
You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4501.829, avg: -19.832
[epoch][s/s_per_e/gs]: [0][159/3029/159], lr: 0.000099914958, loss: 2.525847434998
[epoch][s/s_per_e/gs]: [0][160/3029/160], lr: 0.000099914423, loss: 2.617532730103
[epoch][s/s_per_e/gs]: [0][161/3029/161], lr: 0.000099913888, loss: 2.819683790207
[epoch][s/s_per_e/gs]: [0][162/3029/162], lr: 0.000099913353, loss: 2.536839008331
[epoch][s/s_per_e/gs]: [0][163/3029/163], lr: 0.000099912818, loss: 2.165811538696
[epoch][s/s_per_e/gs]: [0][164/3029/164], lr: 0.000099912283, loss: 2.721400737762
[epoch][s/s_per_e/gs]: [0][165/3029/165], lr: 0.000099911748, loss: 2.461188077927
[epoch][s/s_per_e/gs]: [0][166/3029/166], lr: 0.000099911213, loss: 2.880192756653
[epoch][s/s_per_e/gs]: [0][167/3029/167], lr: 0.000099910678, loss: 2.542504310608
[epoch][s/s_per_e/gs]: [0][168/3029/168], lr: 0.000099910144, loss: 2.188634157181
[epoch][s/s_per_e/gs]: [0][169/3029/169], lr: 0.000099909609, loss: 2.335056304932
[epoch][s/s_per_e/gs]: [0][170/3029/170], lr: 0.000099909074, loss: 2.345646381378
[epoch][s/s_per_e/gs]: [0][171/3029/171], lr: 0.000099908539, loss: 2.570746421814
[epoch][s/s_per_e/gs]: [0][172/3029/172], lr: 0.000099908004, loss: 2.250588178635
[epoch][s/s_per_e/gs]: [0][173/3029/173], lr: 0.000099907469, loss: 2.552163124084
[epoch][s/s_per_e/gs]: [0][174/3029/174], lr: 0.000099906934, loss: 1.927979469299
[epoch][s/s_per_e/gs]: [0][175/3029/175], lr: 0.000099906399, loss: 2.853044509888
[epoch][s/s_per_e/gs]: [0][176/3029/176], lr: 0.000099905864, loss: 2.892475366592
[epoch][s/s_per_e/gs]: [0][177/3029/177], lr: 0.000099905330, loss: 2.250677824020
[epoch][s/s_per_e/gs]: [0][178/3029/178], lr: 0.000099904795, loss: 1.872026324272
[epoch][s/s_per_e/gs]: [0][179/3029/179], lr: 0.000099904260, loss: 2.616882085800
[epoch][s/s_per_e/gs]: [0][180/3029/180], lr: 0.000099903725, loss: 2.676084280014
[epoch][s/s_per_e/gs]: [0][181/3029/181], lr: 0.000099903190, loss: 2.400509595871
[epoch][s/s_per_e/gs]: [0][182/3029/182], lr: 0.000099902655, loss: 2.802114248276
[epoch][s/s_per_e/gs]: [0][183/3029/183], lr: 0.000099902120, loss: 2.533997058868
[epoch][s/s_per_e/gs]: [0][184/3029/184], lr: 0.000099901585, loss: 2.280757665634
[epoch][s/s_per_e/gs]: [0][185/3029/185], lr: 0.000099901050, loss: 2.900531291962
[epoch][s/s_per_e/gs]: [0][186/3029/186], lr: 0.000099900516, loss: 2.230242967606
[epoch][s/s_per_e/gs]: [0][187/3029/187], lr: 0.000099899981, loss: 2.246274232864
[epoch][s/s_per_e/gs]: [0][188/3029/188], lr: 0.000099899446, loss: 2.466439485550
[epoch][s/s_per_e/gs]: [0][189/3029/189], lr: 0.000099898911, loss: 2.279740810394
[epoch][s/s_per_e/gs]: [0][190/3029/190], lr: 0.000099898376, loss: 2.839846849442
[epoch][s/s_per_e/gs]: [0][191/3029/191], lr: 0.000099897841, loss: 2.422417163849
[epoch][s/s_per_e/gs]: [0][192/3029/192], lr: 0.000099897306, loss: 2.327824354172
[epoch][s/s_per_e/gs]: [0][193/3029/193], lr: 0.000099896771, loss: 2.603417634964
[epoch][s/s_per_e/gs]: [0][194/3029/194], lr: 0.000099896236, loss: 2.523356676102
[epoch][s/s_per_e/gs]: [0][195/3029/195], lr: 0.000099895701, loss: 2.358313560486
[epoch][s/s_per_e/gs]: [0][196/3029/196], lr: 0.000099895167, loss: 2.762508869171
[epoch][s/s_per_e/gs]: [0][197/3029/197], lr: 0.000099894632, loss: 2.583142518997
[epoch][s/s_per_e/gs]: [0][198/3029/198], lr: 0.000099894097, loss: 2.638554334641
[epoch][s/s_per_e/gs]: [0][199/3029/199], lr: 0.000099893562, loss: 2.439349174500
[epoch][s/s_per_e/gs]: [0][200/3029/200], lr: 0.000099893027, loss: 2.890494346619
bts_nyu_v2_pytorch_FAM_without_skip
GPU: 0 | examples/s: 13.43 | loss: 2.89049 | var sum: -4624.123 avg: -20.371 | time elapsed: 0.05h | time left: 37.36h
[epoch][s/s_per_e/gs]: [0][201/3029/201], lr: 0.000099892492, loss: 2.264468193054
[epoch][s/s_per_e/gs]: [0][202/3029/202], lr: 0.000099891957, loss: 2.089023828506
[epoch][s/s_per_e/gs]: [0][203/3029/203], lr: 0.000099891422, loss: 2.743148326874
[epoch][s/s_per_e/gs]: [0][204/3029/204], lr: 0.000099890887, loss: 3.021280288696
[epoch][s/s_per_e/gs]: [0][205/3029/205], lr: 0.000099890352, loss: 2.661740541458
[epoch][s/s_per_e/gs]: [0][206/3029/206], lr: 0.000099889818, loss: 2.773154973984
[epoch][s/s_per_e/gs]: [0][207/3029/207], lr: 0.000099889283, loss: 2.745801448822
[epoch][s/s_per_e/gs]: [0][208/3029/208], lr: 0.000099888748, loss: 2.360277414322
[epoch][s/s_per_e/gs]: [0][209/3029/209], lr: 0.000099888213, loss: 2.188367843628
[epoch][s/s_per_e/gs]: [0][210/3029/210], lr: 0.000099887678, loss: 2.782166242599
[epoch][s/s_per_e/gs]: [0][211/3029/211], lr: 0.000099887143, loss: 2.189143657684
[epoch][s/s_per_e/gs]: [0][212/3029/212], lr: 0.000099886608, loss: 2.313244581223
[epoch][s/s_per_e/gs]: [0][213/3029/213], lr: 0.000099886073, loss: 1.759618759155
[epoch][s/s_per_e/gs]: [0][214/3029/214], lr: 0.000099885538, loss: 3.192733526230
[epoch][s/s_per_e/gs]: [0][215/3029/215], lr: 0.000099885003, loss: 2.687609434128
[epoch][s/s_per_e/gs]: [0][216/3029/216], lr: 0.000099884468, loss: 2.899293661118
[epoch][s/s_per_e/gs]: [0][217/3029/217], lr: 0.000099883934, loss: 2.862815856934
[epoch][s/s_per_e/gs]: [0][218/3029/218], lr: 0.000099883399, loss: 1.954602956772
[epoch][s/s_per_e/gs]: [0][219/3029/219], lr: 0.000099882864, loss: 2.297182798386
[epoch][s/s_per_e/gs]: [0][220/3029/220], lr: 0.000099882329, loss: 2.444543361664
[epoch][s/s_per_e/gs]: [0][221/3029/221], lr: 0.000099881794, loss: 2.070923328400
[epoch][s/s_per_e/gs]: [0][222/3029/222], lr: 0.000099881259, loss: 2.571639060974
[epoch][s/s_per_e/gs]: [0][223/3029/223], lr: 0.000099880724, loss: 2.697353601456
[epoch][s/s_per_e/gs]: [0][224/3029/224], lr: 0.000099880189, loss: 2.758913993835
[epoch][s/s_per_e/gs]: [0][225/3029/225], lr: 0.000099879654, loss: 2.665713787079
[epoch][s/s_per_e/gs]: [0][226/3029/226], lr: 0.000099879119, loss: 2.491194248199
[epoch][s/s_per_e/gs]: [0][227/3029/227], lr: 0.000099878584, loss: 3.299485445023
[epoch][s/s_per_e/gs]: [0][228/3029/228], lr: 0.000099878050, loss: 2.276142835617
[epoch][s/s_per_e/gs]: [0][229/3029/229], lr: 0.000099877515, loss: 2.276022911072
[epoch][s/s_per_e/gs]: [0][230/3029/230], lr: 0.000099876980, loss: 2.426020145416
[epoch][s/s_per_e/gs]: [0][231/3029/231], lr: 0.000099876445, loss: 2.089057207108
[epoch][s/s_per_e/gs]: [0][232/3029/232], lr: 0.000099875910, loss: 2.364984989166
[epoch][s/s_per_e/gs]: [0][233/3029/233], lr: 0.000099875375, loss: 2.440383672714
[epoch][s/s_per_e/gs]: [0][234/3029/234], lr: 0.000099874840, loss: 2.429217815399
[epoch][s/s_per_e/gs]: [0][235/3029/235], lr: 0.000099874305, loss: 2.704672574997
[epoch][s/s_per_e/gs]: [0][236/3029/236], lr: 0.000099873770, loss: 2.568439483643
[epoch][s/s_per_e/gs]: [0][237/3029/237], lr: 0.000099873235, loss: 2.297994136810
[epoch][s/s_per_e/gs]: [0][238/3029/238], lr: 0.000099872700, loss: 1.914922714233
[epoch][s/s_per_e/gs]: [0][239/3029/239], lr: 0.000099872166, loss: 2.577587604523
[epoch][s/s_per_e/gs]: [0][240/3029/240], lr: 0.000099871631, loss: 2.519464731216
[epoch][s/s_per_e/gs]: [0][241/3029/241], lr: 0.000099871096, loss: 2.328428983688
[epoch][s/s_per_e/gs]: [0][242/3029/242], lr: 0.000099870561, loss: 2.358364105225
[epoch][s/s_per_e/gs]: [0][243/3029/243], lr: 0.000099870026, loss: 2.429444313049
[epoch][s/s_per_e/gs]: [0][244/3029/244], lr: 0.000099869491, loss: 2.577681779861
[epoch][s/s_per_e/gs]: [0][245/3029/245], lr: 0.000099868956, loss: 1.986722946167
[epoch][s/s_per_e/gs]: [0][246/3029/246], lr: 0.000099868421, loss: 2.728882074356
[epoch][s/s_per_e/gs]: [0][247/3029/247], lr: 0.000099867886, loss: 1.948014378548
[epoch][s/s_per_e/gs]: [0][248/3029/248], lr: 0.000099867351, loss: 2.330246925354
[epoch][s/s_per_e/gs]: [0][249/3029/249], lr: 0.000099866816, loss: 2.336427450180
[epoch][s/s_per_e/gs]: [0][250/3029/250], lr: 0.000099866281, loss: 2.073920726776
[epoch][s/s_per_e/gs]: [0][251/3029/251], lr: 0.000099865747, loss: 2.331197023392
[epoch][s/s_per_e/gs]: [0][252/3029/252], lr: 0.000099865212, loss: 3.359782457352
[epoch][s/s_per_e/gs]: [0][253/3029/253], lr: 0.000099864677, loss: 2.853827714920
